id,name,description,image,language,logic,customer_id,group,enabled,created,sort,description_won,versions,row,needs,is_personalized_learning
35,Osnove sajber bezbednosti,,basics.svg,sr,"{""categories"": [{""id"": 1}]}",,1,True,2020-07-09 13:02:50.457966+00,1,Вы завершили категорию «Основы кибербезопасности». Отличная работа! Сразу переходите к следующей категории!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [1], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
36,Bezbednost e-pošte,,emailsecure.svg,sr,"{""categories"": [{""id"": 2}]}",,2,True,2020-07-09 13:02:50.457966+00,2,Вы завершили категорию «Безопасность электронной почты». Отличная работа! Сразу переходите к следующей категории!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [2], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
37,Bezbednost mobilnih uređaja,,mobilesafely.svg,sr,"{""categories"": [{""id"": 3}]}",,3,True,2020-07-09 13:02:50.457966+00,3,Вы завершили категорию «Безопасность мобильных устройств». Отличная работа! Сразу переходите к следующей категории!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [3], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
38,Internet i onlajn alati,,internet.svg,sr,"{""categories"": [{""id"": 4}]}",,4,True,2020-07-09 13:02:50.457966+00,4,Вы завершили категорию «Интернет и онлайн-инструменты». Отличная работа! Продолжайте сразу с следующей категорией!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [4], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
39,Bezbednost u kancelariji,,safeworkplace.svg,sr,"{""categories"": [{""id"": 5}]}",,5,True,2020-07-09 13:02:50.457966+00,5,Вы завершили категорию «Безопасность в офисе». Отличная работа! Продолжайте сразу с следующей категорией!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [5], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
40,Zlonamerni softver,,malware.svg,sr,"{""categories"": [{""id"": 6}]}",,6,True,2020-07-09 13:02:50.457966+00,6,Вы завершили категорию «Вредоносное ПО». Отличная работа! Продолжайте сразу с следующей категорией!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [6], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
41,Zaštita podataka,,dataprotection.svg,sr,"{""categories"": [{""id"": 16}]}",,7,True,2020-07-09 13:02:50.457966+00,7,Вы завершили категорию «Защита данных». Отличная работа! Продолжайте сразу с следующей категорией!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [16], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
42,U punom zamahu,,fireandflame.svg,sr,"{""login_streak"": 5, ""or_completed_all_modules"": true}",,8,True,2020-07-09 13:02:50.457966+00,1,Вы входили 5 дней подряд. Ваша мотивация заслуживает похвалы — так держать!,"{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
43,Daj pet,,highfive.svg,sr,"{""modules_per_day"": 5}",,9,True,2020-07-09 13:02:50.457966+00,2,"Вы завершили 5 модулей за один день. Отлично! Думаете, сможете ещё больше?","{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": 5, ""min_category_count"": null}",True
44,Na svim frontovima,,allfronts.svg,sr,"{""categories"": {""count"": 1}}",,10,True,2020-07-09 13:02:50.457966+00,3,Вы завершили как минимум один модуль в каждой категории. Отлично! Так вы одновременно расширяете свои знания в разных областях.,"{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": 3}",True
